       Địa chỉ  Quận  Huyện  Loại hình nhà ở  Giấy tờ pháp lý  Số tầng  Số phòng ngủ  Diện tích          Dài     Rộng           Giá
51135     3038     5    104                0                0      6.0           5.0       43.0      15.0000     3.70  1.534900e+11
51136     2393     0     87                1                0      1.0           1.0       28.0       7.0000     4.00  7.500000e+10
51142      915     8    119                0                0      5.0           6.0       43.0      11.0000     4.00  1.383700e+11
51146      359     0     37                0                0      4.0           4.0       50.0      10.0000     5.00  7.000000e+10
51153      493     0    133                0                0      3.0           3.0       56.0      16.0000     3.00  9.286000e+10
51154     3039     7     52                0                2      2.0           1.0       16.0       3.0000     5.00  2.813000e+10
51155       13     7      9                0                0      5.0           8.0       55.0       4.0000     4.00  1.000000e+11
51156     1989     7    137                0                0      5.0           3.0       36.0      10.5000     3.50  1.027800e+11
51157     3040    11     60                2                0      5.0           5.0       52.0    1500.0000   390.00  1.013070e+02
51163      161     1     56                1                0      2.0           2.0       40.0      13.0000     3.00  1.375000e+11
51164      915     8    119                0                0      4.0           3.0       20.0       5.0000     4.00  8.250000e+10
51165      180     7     80                0                0      5.0           4.0       42.0      11.0000     4.00  9.167000e+10
51169      790     7    137                0                0      4.0           2.0       38.0       1.0000     3.00  1.026300e+11
51186     1270     8    120                0                0      5.0           3.0       20.0       6.0000     4.00  1.335000e+11
